account_nm,2022,2023,증감률(%),기업명
계속영업이익(손실),55654077000000.0,15487100000000.0,-72.17256877694692,삼성전자
금융수익,20828995000000.0,16100148000000.0,-22.703193312975493,삼성전자
기타수익,1962071000000.0,,,삼성전자
당기순이익,55654077000000.0,,,삼성전자
당기순이익(손실),55654077000000.0,15487100000000.0,-72.17256877694692,삼성전자
매출원가,190041770000000.0,180388580000000.0,-5.0795096256996555,삼성전자
매출채권,35721563000000.0,36647393000000.0,2.591795885303227,삼성전자
매출총이익,112189590000000.0,78546914000000.0,-29.987341962832737,삼성전자
법인세비용(수익),,-4480835000000.0,,삼성전자
법인세비용차감전순이익(손실),46440474000000.0,11006265000000.0,-76.30027419616776,삼성전자
부채와자본총계,448424507000000.0,,,삼성전자
부채총계,93674903000000.0,92228115000000.0,-1.54447771352376,삼성전자
비지배지분에 귀속되는 당기순이익(손실),924059000000.0,1013699000000.0,9.70067928563003,삼성전자
수익(매출액),302231360000000.0,,,삼성전자
영업수익,,258935494000000.0,,삼성전자
영업이익,43376630000000.0,6566976000000.0,-84.86056662308712,삼성전자
유형자산,168045388000000.0,187256262000000.0,11.431955514304267,삼성전자
유형자산의 처분,217878000000.0,98341000000.0,-54.86419005131312,삼성전자
유형자산의 취득,49430428000000.0,57611292000000.0,16.550259285636773,삼성전자
자본과부채총계,,455905980000000.0,,삼성전자
자본총계,354749604000000.0,363677865000000.0,2.5167782851140266,삼성전자
지배기업의 소유주에게 귀속되는 당기순이익(손실),54730018000000.0,14473401000000.0,-73.55491277200018,삼성전자
부채비율(%),26.405921794911997,25.35983733846436,-1.0460844564476375,삼성전자
금융수익,3714278000000.0,2261801000000.0,-39.105231218557144,현대자동차
기본주당순이익,3242.0,,,현대자동차
기타영업외수익,241371000000.0,623867000000.0,158.46808440119153,현대자동차
당기순이익,2241669000000.0,,,현대자동차
당기순이익(손실),,-9137547000000.0,,현대자동차
매출액,44621568000000.0,32765719000000.0,-26.569772267975882,현대자동차
매출원가,28993713000000.0,33299167000000.0,14.849612397004828,현대자동차
매출채권,5186054000000.0,6600273000000.0,27.269654346059646,현대자동차
매출총이익,15627855000000.0,-533448000000.0,-103.41344349560448,현대자동차
법인세비용(수익),,-2520269000000.0,,현대자동차
법인세비용차감전순이익,4002780000000.0,,,현대자동차
법인세비용차감전순이익(손실),,-11657816000000.0,,현대자동차
부채및자본총계,103871512000000.0,100330165000000.0,-3.409353471238582,현대자동차
부채총계,40580970000000.0,46826413000000.0,15.390078157323494,현대자동차
영업이익,6809417000000.0,,,현대자동차
영업이익(손실),,-7730313000000.0,,현대자동차
유형자산,60228528000000.0,52704853000000.0,-12.491879263594157,현대자동차
유형자산의 처분,323718000000.0,1539825000000.0,375.6686375178396,현대자동차
유형자산의 취득,19010261000000.0,8325138000000.0,-56.20713466269611,현대자동차
자본총계,63290542000000.0,53503752000000.0,-15.463274117639884,현대자동차
희석주당순이익,3242.0,,,현대자동차
부채비율(%),64.11853764816865,87.5198677655354,23.40133011736674,현대자동차
